CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
IL-504,Madison County CoC,Sheltered-Only Count,2020,47,11,4,32,25,22,0,0,47,0,36,11,0,0,0,0,32,7,4,21,15,17,0,0,30,2,22,9,0,0,0,1,,
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,2020,234,48,9,177,110,124,0,0,169,65,160,69,0,3,0,2,42,0,1,41,6,36,0,0,35,7,31,9,1,1,0,0,,
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered and Unsheltered Count,2020,274,30,25,219,106,168,0,0,265,9,170,83,4,0,3,14,37,0,2,35,6,31,0,0,36,1,27,10,0,0,0,0,,
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,2020,162,74,8,80,104,58,0,0,161,1,25,129,0,4,0,4,136,24,6,106,56,80,0,0,136,0,24,108,1,0,0,3,,
IL-510,Chicago CoC,Sheltered and Unsheltered Count,2020,3861,1119,402,2340,1726,2116,17,2,3388,473,699,3035,50,36,10,31,1529,15,93,1421,325,1204,0,0,1389,140,389,1113,11,10,0,6,,
IL-511,Cook County CoC,Sheltered and Unsheltered Count,2020,728,180,70,478,316,411,1,0,629,99,273,406,7,3,4,35,118,0,5,113,27,91,0,0,112,6,48,63,0,2,1,4,,
IL-512,Bloomington/Central Illinois CoC,Sheltered and Unsheltered Count,2020,356,94,48,214,174,182,0,0,348,8,172,177,1,0,0,6,52,1,5,46,16,36,0,0,51,1,26,23,0,2,0,1,,
IL-513,Springfield/Sangamon County CoC,Sheltered and Unsheltered Count,2020,251,52,18,181,107,141,2,1,239,12,138,97,0,1,1,14,43,2,9,32,8,34,1,0,42,1,22,17,1,2,0,1,,
IL-514,DuPage County CoC,Sheltered-Only Count,2020,318,83,62,173,157,154,7,0,275,43,161,134,3,0,0,20,10,0,0,10,3,7,0,0,10,0,7,3,0,0,0,0,,
IL-515,South Central Illinois CoC,Sheltered and Unsheltered Count,2020,91,29,6,56,46,45,0,0,91,0,78,8,0,2,0,3,32,6,8,18,13,19,0,0,32,0,31,1,0,0,0,0,,
IL-516,Decatur/Macon County CoC,Sheltered and Unsheltered Count,2020,112,10,10,92,46,66,0,0,112,0,68,41,0,0,0,3,23,2,0,21,9,14,0,0,23,0,12,10,0,1,0,0,,
IL-517,"Aurora, Elgin/Kane County CoC",Sheltered and Unsheltered Count,2020,345,58,17,270,135,209,1,0,239,106,208,114,4,1,0,18,65,0,6,59,55,10,0,0,53,12,39,23,0,3,0,0,,
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Sheltered and Unsheltered Count,2020,117,29,15,73,58,59,0,0,103,14,53,52,6,0,0,6,18,0,0,18,6,12,0,0,18,0,13,5,0,0,0,0,,
IL-519,West Central Illinois CoC,Sheltered and Unsheltered Count,2020,110,15,22,73,57,52,1,0,103,7,80,27,1,0,0,2,3,0,0,3,0,3,0,0,3,0,2,1,0,0,0,0,,
IL-520,Southern Illinois CoC,Sheltered and Unsheltered Count,2020,187,46,10,131,90,97,0,0,179,8,132,42,1,5,0,7,46,5,11,30,17,29,0,0,43,3,37,8,0,0,0,1,,
IN-502,Indiana Balance of State CoC,Sheltered and Unsheltered Count,2020,3257,755,223,2279,1474,1773,4,6,3051,206,2209,800,22,31,12,183,780,16,63,701,254,520,5,1,713,67,615,119,0,15,2,29,,
IN-503,Indianapolis CoC,Sheltered and Unsheltered Count,2020,1402,207,52,1143,395,1001,6,0,1348,54,553,802,14,2,6,25,186,0,14,172,59,126,1,0,166,20,115,62,1,2,1,5,,
KS-502,Wichita/Sedgwick County CoC,Sheltered and Unsheltered Count,2020,558,94,40,424,153,405,0,0,490,68,330,166,12,24,1,25,61,0,1,60,12,49,0,0,52,9,45,7,1,8,0,0,,
KS-503,Topeka/Shawnee County CoC,Sheltered and Unsheltered Count,2020,375,68,10,297,176,199,0,0,342,33,182,72,1,11,0,109,92,0,4,88,24,67,0,1,88,4,76,10,0,2,0,4,,
KS-505,"Overland Park, Shawnee/Johnson County CoC",Sheltered and Unsheltered Count,2020,156,65,7,84,80,75,1,0,144,12,60,67,0,1,0,28,24,1,2,21,8,16,0,0,24,0,19,5,0,0,0,0,,
KS-507,Kansas Balance of State CoC,Sheltered and Unsheltered Count,2020,720,141,64,515,301,419,0,0,636,84,489,96,1,45,1,88,223,15,54,154,73,150,0,0,196,27,185,27,0,4,0,7,,
KY-500,Kentucky Balance of State CoC,Sheltered and Unsheltered Count,2020,1464,305,98,1061,692,771,1,0,1428,36,1208,204,2,9,5,36,756,23,64,669,266,487,2,1,738,18,684,61,1,1,0,9,,
KY-501,Louisville-Jefferson County CoC,Sheltered and Unsheltered Count,2020,961,176,73,712,366,594,1,0,920,41,421,472,10,4,1,53,141,2,11,128,68,72,1,0,135,6,79,53,1,1,0,7,,
KY-502,Lexington-Fayette County CoC,Sheltered and Unsheltered Count,2020,658,75,19,564,210,444,3,1,624,34,407,204,4,7,13,23,31,0,3,28,5,25,0,1,30,1,27,2,1,0,1,0,,
LA-500,Lafayette/Acadiana CoC,Sheltered and Unsheltered Count,2020,234,72,17,145,97,137,0,0,231,3,87,133,5,1,0,8,183,0,10,173,27,156,0,0,176,7,69,107,1,2,0,4,,
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Sheltered and Unsheltered Count,2020,256,67,14,175,106,149,0,1,254,2,87,161,1,0,0,7,42,0,1,41,8,34,0,0,42,0,18,21,1,1,1,0,,
LA-503,New Orleans/Jefferson Parish CoC,Sheltered and Unsheltered Count,2020,759,100,96,563,227,526,5,1,730,29,209,542,2,4,2,0,555,0,48,507,117,432,5,1,535,20,223,310,8,12,1,1,,
LA-505,Monroe/Northeast Louisiana CoC,Sheltered and Unsheltered Count,2020,122,28,20,74,61,61,0,0,121,1,39,80,0,1,1,1,40,0,3,37,6,34,0,0,40,0,17,23,0,0,0,0,,
LA-506,Slidell/Southeast Louisiana CoC,Sheltered and Unsheltered Count,2020,84,7,1,76,27,57,0,0,80,4,55,19,0,1,0,9,34,0,0,34,9,25,0,0,33,1,20,13,0,1,0,0,,
LA-507,Alexandria/Central Louisiana CoC,Sheltered and Unsheltered Count,2020,91,16,9,66,31,60,0,0,91,0,66,24,0,0,0,1,16,0,1,15,2,14,0,0,16,0,7,9,0,0,0,0,,
LA-509,Louisiana Balance of State CoC,Sheltered and Unsheltered Count,2020,474,100,36,338,159,314,1,0,456,18,174,290,1,4,0,5,283,6,19,258,90,193,0,0,280,3,94,176,2,2,0,9,,
MA-500,Boston CoC,Sheltered and Unsheltered Count,2020,5999,2360,464,3175,2984,2998,13,4,3893,2106,2056,3157,91,32,57,606,135,0,6,129,42,92,1,0,88,47,59,29,3,1,0,43,,
MA-502,Lynn CoC,Sheltered and Unsheltered Count,2020,1027,604,84,339,609,418,0,0,875,152,598,308,5,4,5,107,13,0,6,7,3,10,0,0,9,4,10,3,0,0,0,0,,
MA-503,Cape Cod Islands CoC,Sheltered and Unsheltered Count,2020,286,84,21,181,159,127,0,0,252,34,207,61,3,4,0,11,50,1,1,48,13,37,0,0,48,2,45,0,0,1,0,4,,
MA-504,Springfield/Hampden County CoC,Sheltered and Unsheltered Count,2020,2153,1140,169,844,1179,974,0,0,896,1257,1611,518,3,2,1,18,104,0,12,92,23,80,1,0,65,39,91,7,0,1,0,5,,
MA-505,New Bedford CoC,Sheltered and Unsheltered Count,2020,350,132,25,193,176,174,0,0,243,107,207,100,0,7,0,36,48,1,6,41,12,36,0,0,36,12,23,8,1,0,0,16,,
MA-506,Worcester City & County CoC,Sheltered and Unsheltered Count,2020,1212,469,114,629,609,597,6,0,706,506,888,279,12,6,2,25,189,3,12,174,65,123,0,1,139,50,171,14,2,0,0,2,,
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Sheltered and Unsheltered Count,2020,490,92,31,367,163,325,2,0,392,98,361,76,3,2,3,45,101,0,10,91,28,72,1,0,91,10,97,2,0,1,1,0,,
MA-509,Cambridge CoC,Sheltered and Unsheltered Count,2020,438,71,53,314,151,282,2,3,349,89,217,188,8,2,2,21,63,0,5,58,18,45,0,0,58,5,51,11,0,0,0,1,,
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Sheltered and Unsheltered Count,2020,1049,398,80,571,510,537,2,0,866,183,459,472,13,4,1,100,30,0,0,30,7,23,0,0,29,1,25,3,0,0,0,2,,
MA-515,Fall River CoC,Sheltered and Unsheltered Count,2020,298,145,12,141,163,135,0,0,188,110,204,78,0,1,0,15,59,3,6,50,19,40,0,0,51,8,49,5,5,0,0,0,,
MA-516,Massachusetts Balance of State CoC,Sheltered and Unsheltered Count,2020,3157,1469,259,1429,1693,1461,3,0,1896,1261,1982,1026,40,17,12,80,474,5,11,458,141,327,2,4,427,47,348,92,8,1,3,22,,
MA-519,"Attleboro, Taunton/Bristol County CoC",Sheltered and Unsheltered Count,2020,222,115,14,93,119,103,0,0,170,52,123,96,0,0,0,3,28,0,3,25,5,23,0,0,23,5,21,5,1,0,0,1,,
MD-501,Baltimore CoC,Sheltered and Unsheltered Count,2020,1895,245,71,1579,717,1168,10,0,1826,69,428,1391,14,15,8,39,298,0,9,289,65,231,1,1,290,8,120,170,0,4,0,4,,
MD-503,Annapolis/Anne Arundel County CoC,Sheltered and Unsheltered Count,2020,229,48,19,162,96,131,2,0,222,7,96,111,3,1,0,18,90,2,1,87,24,66,0,0,88,2,62,21,0,1,0,6,,
MD-504,Howard County CoC,Sheltered and Unsheltered Count,2020,99,30,4,65,51,48,0,0,92,7,21,58,1,1,0,18,40,6,5,29,9,31,0,0,31,9,21,12,0,1,0,6,,
MD-505,Baltimore County CoC,Sheltered and Unsheltered Count,2020,496,162,30,304,241,254,1,0,480,16,123,351,8,2,1,11,216,40,10,166,83,133,0,0,206,10,117,77,0,9,4,9,,
MD-506,Carroll County CoC,Sheltered-Only Count,2020,107,7,7,93,44,61,2,0,106,1,88,15,0,1,0,3,23,2,2,19,9,14,0,0,23,0,21,0,0,2,0,0,,
MD-511,Mid-Shore Regional CoC,Sheltered and Unsheltered Count,2020,129,51,4,74,62,66,1,0,125,4,59,59,0,1,0,10,28,11,5,12,14,13,1,0,28,0,25,2,0,0,0,1,,
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Sheltered and Unsheltered Count,2020,256,65,13,178,114,142,0,0,251,5,107,135,0,1,5,8,54,1,1,52,14,40,0,0,53,1,35,18,0,1,0,0,,
MD-514,Maryland Balance of State CoC,,2020,971,246,63,662,422,538,5,6,901,70,524,393,8,8,4,34,293,34,17,242,89,199,4,1,288,5,145,131,0,3,0,14,,
MD-600,Prince George's County CoC,Sheltered and Unsheltered Count,2020,375,152,39,184,199,175,1,0,367,8,7,351,0,4,0,13,91,0,0,91,14,77,0,0,58,33,24,40,1,1,1,24,,
MD-601,Montgomery County CoC,Sheltered and Unsheltered Count,2020,567,113,45,409,271,295,1,0,475,92,153,360,19,3,1,31,103,0,1,102,30,71,2,0,84,19,35,60,2,1,2,3,,
ME-500,Maine Statewide CoC,Sheltered and Unsheltered Count,2020,1956,477,139,1340,903,1040,8,5,1877,79,1515,305,3,43,7,83,141,3,10,128,37,103,0,1,136,5,116,5,0,5,0,15,,
MI-500,Michigan Balance of State CoC,Sheltered and Unsheltered Count,2020,1230,398,108,724,632,597,0,1,1161,69,1031,115,0,23,3,58,272,40,14,218,105,167,0,0,265,7,244,14,0,2,1,11,,
MI-501,Detroit CoC,Sheltered-Only Count,2020,1503,351,133,1019,562,939,2,0,1471,32,161,1305,7,3,3,24,86,0,3,83,21,65,0,0,82,4,12,69,0,1,0,4,,
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Sheltered and Unsheltered Count,2020,239,111,8,120,124,115,0,0,232,7,95,120,1,4,0,19,21,0,0,21,4,17,0,0,21,0,13,7,0,0,0,1,,
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Sheltered and Unsheltered Count,2020,199,43,8,148,84,115,0,0,192,7,77,113,0,1,0,8,52,1,0,51,11,41,0,0,49,3,42,10,0,0,0,0,,
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Sheltered and Unsheltered Count,2020,335,93,38,204,148,186,0,1,320,15,101,215,3,0,0,16,124,8,15,101,44,80,0,0,111,13,71,53,0,0,0,0,,
MI-505,Flint/Genesee County CoC,Sheltered and Unsheltered Count,2020,276,76,19,181,121,155,0,0,246,30,133,108,0,2,1,32,73,0,3,70,25,48,0,0,53,20,21,41,0,2,0,9,,
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Sheltered and Unsheltered Count,2020,837,232,84,521,358,474,4,1,774,63,278,472,9,6,2,70,86,1,4,81,22,64,0,0,82,4,53,22,0,5,0,6,,
MI-507,"Portage, Kalamazoo City & County CoC",Sheltered and Unsheltered Count,2020,496,160,27,309,247,249,0,0,483,13,178,298,2,10,0,8,143,26,3,114,79,64,0,0,138,5,67,71,4,1,0,0,,
MI-508,"Lansing, East Lansing/Ingham County CoC",Sheltered and Unsheltered Count,2020,482,119,28,335,205,276,0,1,446,36,222,184,2,7,0,67,30,1,1,28,8,22,0,0,25,5,21,7,0,1,0,1,,
MI-509,Washtenaw County CoC,Sheltered and Unsheltered Count,2020,257,55,19,183,98,157,2,0,245,12,93,130,1,1,0,32,17,0,1,16,4,12,0,1,15,2,13,2,0,0,0,2,,
MI-510,Saginaw City & County CoC,Sheltered and Unsheltered Count,2020,421,143,32,246,210,211,0,0,398,23,140,244,1,6,0,30,10,0,0,10,0,10,0,0,10,0,4,6,0,0,0,0,,
MI-511,Lenawee County CoC,Sheltered and Unsheltered Count,2020,161,54,14,93,92,69,0,0,113,48,116,20,0,1,0,24,7,1,1,5,1,6,0,0,7,0,7,0,0,0,0,0,,
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered and Unsheltered Count,2020,183,19,11,153,61,122,0,0,179,4,155,8,1,7,1,11,28,0,1,27,9,19,0,0,28,0,20,3,0,2,0,3,,
MI-514,Battle Creek/Calhoun County CoC,Sheltered and Unsheltered Count,2020,182,28,10,144,54,128,0,0,178,4,95,70,1,6,7,3,47,2,5,40,20,27,0,0,46,1,22,14,0,2,7,2,,
MI-515,Monroe City & County CoC,Sheltered and Unsheltered Count,2020,182,41,16,125,90,92,0,0,178,4,126,42,0,1,1,12,2,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,,
MI-516,"Norton Shores, Muskegon City & County CoC",Sheltered and Unsheltered Count,2020,122,33,9,80,51,71,0,0,114,8,49,66,1,0,0,6,7,0,2,5,3,4,0,0,6,1,2,5,0,0,0,0,,
MI-517,Jackson City & County CoC,Sheltered and Unsheltered Count,2020,75,23,5,47,41,34,0,0,73,2,33,23,2,1,1,15,25,0,5,20,9,16,0,0,24,1,22,3,0,0,0,0,,
MI-518,Livingston County CoC,Sheltered-Only Count,2020,47,25,6,16,33,14,0,0,44,3,35,7,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-519,Holland/Ottawa County CoC,Sheltered and Unsheltered Count,2020,262,88,19,155,120,142,0,0,237,25,186,44,18,4,1,9,8,0,0,8,3,5,0,0,6,2,5,2,0,0,1,0,,
MI-523,Eaton County CoC,Sheltered and Unsheltered Count,2020,110,67,6,37,69,41,0,0,99,11,77,24,0,0,0,9,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,,
MN-500,Minneapolis/Hennepin County CoC,Sheltered and Unsheltered Count,2020,2407,839,241,1327,1077,1317,9,4,2239,168,524,1518,47,118,15,185,642,26,46,570,176,456,3,7,576,66,173,304,1,145,13,6,,
MN-501,Saint Paul/Ramsey County CoC,Sheltered and Unsheltered Count,2020,1292,380,89,823,517,770,3,2,1149,143,345,744,41,40,5,117,338,20,28,290,110,224,3,1,322,16,98,142,28,33,4,33,,
MN-502,Rochester/Southeast Minnesota CoC,Sheltered and Unsheltered Count,2020,393,139,54,200,218,172,2,1,343,50,233,109,10,5,2,34,66,7,15,44,26,40,0,0,57,9,49,9,0,5,0,3,,
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Sheltered and Unsheltered Count,2020,415,124,56,235,220,193,1,1,372,43,199,143,4,6,0,63,146,13,18,115,53,92,0,1,141,5,110,24,2,3,1,6,,
MN-504,Northeast Minnesota CoC,Sheltered and Unsheltered Count,2020,82,25,22,35,45,37,0,0,76,6,62,2,0,8,0,10,61,10,4,47,21,39,0,1,61,0,46,2,0,12,0,1,,
MN-505,St. Cloud/Central Minnesota CoC,Sheltered and Unsheltered Count,2020,466,145,81,240,221,244,0,1,437,29,234,111,3,83,1,34,398,36,127,235,149,249,0,0,393,5,327,44,2,13,6,6,,
MN-506,Northwest Minnesota CoC,Sheltered and Unsheltered Count,2020,317,121,42,154,152,164,1,0,287,30,117,13,2,151,0,34,3,0,0,3,1,2,0,0,3,0,1,0,0,2,0,0,,
MN-508,Moorhead/West Central Minnesota CoC,Sheltered and Unsheltered Count,2020,223,91,23,109,101,121,1,0,187,36,120,28,1,56,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-509,Duluth/St.Louis County CoC,Sheltered and Unsheltered Count,2020,328,101,45,182,173,151,1,3,313,15,156,76,4,45,2,45,284,38,29,217,101,182,1,0,278,6,172,24,0,65,1,22,,
MN-511,Southwest Minnesota CoC,Sheltered and Unsheltered Count,2020,68,25,10,33,42,26,0,0,53,15,44,8,0,1,0,15,11,0,2,9,5,6,0,0,8,3,6,1,0,4,0,0,,
MO-500,St. Louis County CoC,Sheltered and Unsheltered Count,2020,449,186,140,123,271,175,3,0,441,8,56,363,4,4,4,18,30,0,1,29,11,19,0,0,30,0,11,19,0,0,0,0,,
MO-501,St.Louis City CoC,Sheltered and Unsheltered Count,2020,1062,236,83,743,392,662,5,3,1044,18,258,773,8,1,2,20,198,11,19,168,48,149,1,0,193,5,43,149,2,1,0,3,,
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Sheltered and Unsheltered Count,2020,267,132,27,108,161,105,0,1,252,15,161,79,0,4,0,23,125,10,17,98,52,72,1,0,119,6,99,17,0,1,0,8,,
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered and Unsheltered Count,2020,452,105,39,308,230,220,1,1,419,33,330,59,2,15,4,42,88,0,6,82,22,65,1,0,82,6,71,5,0,7,0,5,,
MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered and Unsheltered Count,2020,243,28,11,204,82,161,0,0,228,15,204,18,0,9,1,11,70,3,5,62,26,44,0,0,67,3,60,7,0,3,0,0,,
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered and Unsheltered Count,2020,199,54,15,130,101,97,0,1,186,13,129,46,5,2,0,17,42,1,1,40,14,28,0,0,39,3,39,1,0,0,0,2,,
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered and Unsheltered Count,2020,1448,289,169,990,696,750,2,0,1355,93,672,637,8,15,6,110,525,120,66,339,171,345,5,4,461,64,296,174,3,8,3,41,,
MO-606,Missouri Balance of State CoC,Sheltered and Unsheltered Count,2020,917,273,73,571,535,375,4,3,865,52,662,172,2,11,2,68,652,57,52,543,241,409,2,0,632,20,557,73,1,7,0,14,,
MP-500,Northern Mariana Islands CoC,Sheltered and Unsheltered Count,2020,2,0,0,2,2,0,0,0,2,0,0,0,1,0,0,1,1205,409,117,679,574,631,0,0,1205,0,7,0,437,0,758,3,,
MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered and Unsheltered Count,2020,293,69,15,209,106,186,1,0,292,1,111,176,2,0,0,4,113,0,5,108,21,91,1,0,113,0,31,79,1,1,1,0,,
MS-501,Mississippi Balance of State CoC,Sheltered and Unsheltered Count,2020,220,53,16,151,113,107,0,0,220,0,80,134,0,3,0,3,227,3,7,217,66,161,0,0,224,3,123,96,0,1,0,7,,
MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered and Unsheltered Count,2020,68,40,1,27,44,24,0,0,62,6,43,25,0,0,0,0,186,0,9,177,45,140,1,0,178,8,124,44,0,6,4,8,,
MT-500,Montana Statewide CoC,Sheltered and Unsheltered Count,2020,1085,283,60,742,478,595,6,6,971,114,780,48,4,199,3,51,460,45,38,377,152,301,4,3,427,33,307,3,0,101,7,42,,
NC-500,Winston-Salem/Forsyth County CoC,Sheltered and Unsheltered Count,2020,447,49,22,376,124,322,1,0,441,6,188,251,1,1,0,6,57,0,2,55,13,44,0,0,55,2,26,30,0,0,0,1,,
NC-501,Asheville/Buncombe County CoC,Sheltered and Unsheltered Count,2020,482,46,8,428,133,348,1,0,462,20,321,137,1,8,2,13,65,1,1,63,17,48,0,0,62,3,55,7,0,0,1,2,,
NC-502,Durham City & County CoC,Sheltered and Unsheltered Count,2020,272,59,14,199,95,177,0,0,261,11,61,202,0,2,0,7,77,0,7,70,18,59,0,0,72,5,26,45,0,1,0,5,,
NC-503,North Carolina Balance of State CoC,Sheltered and Unsheltered Count,2020,2189,553,143,1493,1025,1160,2,2,2081,108,1146,895,12,33,4,99,996,41,78,877,337,659,0,0,948,48,647,310,2,18,1,18,,
NC-504,"Greensboro, High Point CoC",Sheltered and Unsheltered Count,2020,434,81,39,314,150,284,0,0,418,16,108,312,0,1,0,13,190,10,14,166,65,125,0,0,188,2,100,87,1,0,0,2,,
NC-505,Charlotte/Mecklenberg CoC,Sheltered and Unsheltered Count,2020,1390,305,88,997,616,772,2,0,1353,37,221,1104,3,3,0,59,214,2,19,193,36,177,1,0,207,7,48,156,1,5,0,4,,
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered and Unsheltered Count,2020,231,36,6,189,98,133,0,0,215,16,116,95,1,0,0,19,119,1,4,114,23,95,1,0,111,8,84,30,0,1,1,3,,
NC-507,Raleigh/Wake County CoC,Sheltered and Unsheltered Count,2020,742,184,64,494,335,400,7,0,699,43,158,545,6,6,4,23,232,10,6,216,57,175,0,0,203,29,101,114,0,5,0,12,,
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered and Unsheltered Count,2020,140,45,9,86,67,73,0,0,120,20,74,55,0,1,0,10,185,15,8,162,72,113,0,0,181,4,121,53,0,3,0,8,,
NC-511,Fayetteville/Cumberland County CoC,Sheltered and Unsheltered Count,2020,132,80,1,51,67,65,0,0,116,16,18,110,0,0,0,4,165,0,5,160,41,123,1,0,158,7,44,109,0,0,6,6,,
NC-513,Chapel Hill/Orange County CoC,Sheltered and Unsheltered Count,2020,105,15,2,88,30,75,0,0,101,4,44,52,2,3,0,4,19,0,0,19,2,17,0,0,18,1,8,9,0,0,0,2,,
NC-516,Northwest North Carolina CoC,Sheltered and Unsheltered Count,2020,158,43,13,102,81,76,1,0,139,19,129,26,0,2,1,0,239,58,8,173,112,126,1,0,211,28,216,23,0,0,0,0,,
ND-500,North Dakota Statewide CoC,Sheltered and Unsheltered Count,2020,507,115,43,349,220,286,1,0,471,36,270,92,1,115,1,28,34,0,3,31,6,28,0,0,30,4,15,3,0,16,0,0,,
NE-500,Nebraska Balance of State CoC,Sheltered and Unsheltered Count,2020,517,137,49,331,227,288,2,0,403,114,433,44,1,14,3,22,25,1,2,22,8,17,0,0,21,4,23,1,0,1,0,0,,
NE-501,"Omaha, Council Bluffs CoC",Sheltered and Unsheltered Count,2020,1328,192,91,1045,425,900,3,0,1182,146,811,373,11,30,10,93,77,3,8,66,32,45,0,0,70,7,52,13,0,4,0,8,,
NE-502,Lincoln CoC,Sheltered and Unsheltered Count,2020,416,130,30,256,185,230,1,0,363,53,241,109,10,18,1,37,41,0,1,40,20,21,0,0,36,5,28,3,0,4,1,5,,
NH-500,New Hampshire Balance of State CoC,Sheltered and Unsheltered Count,2020,632,162,49,421,304,326,2,0,597,35,559,35,10,0,4,24,245,8,19,218,90,153,2,0,237,8,234,4,0,4,1,2,,
NH-501,Manchester CoC,Sheltered and Unsheltered Count,2020,424,118,28,278,197,227,0,0,345,79,350,31,3,1,1,38,74,3,7,64,28,46,0,0,70,4,74,0,0,0,0,0,,
NH-502,Nashua/Hillsborough County CoC,Sheltered and Unsheltered Count,2020,271,79,15,177,106,164,1,0,213,58,232,26,3,1,1,8,29,3,0,26,10,19,0,0,29,0,25,2,0,0,0,2,,
NJ-500,Atlantic City & County CoC,Sheltered and Unsheltered Count,2020,286,30,27,229,78,208,0,0,245,41,111,137,7,2,1,28,157,0,5,152,27,130,0,0,131,26,71,73,4,0,1,8,,
NJ-501,Bergen County CoC,Sheltered and Unsheltered Count,2020,346,83,40,223,179,167,0,0,235,111,204,121,2,5,0,14,6,0,0,6,1,5,0,0,6,0,4,2,0,0,0,0,,
NJ-502,Burlington County CoC,Sheltered and Unsheltered Count,2020,528,164,34,330,257,270,1,0,473,55,197,303,0,5,9,14,25,0,2,23,9,15,1,0,21,4,20,4,0,0,0,1,,
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Sheltered and Unsheltered Count,2020,800,177,45,578,320,479,1,0,675,125,329,410,1,15,7,38,247,4,16,227,87,154,5,1,196,51,116,121,6,0,0,4,,
NJ-504,Newark/Essex County CoC,Sheltered and Unsheltered Count,2020,1796,520,168,1108,829,963,2,2,1506,290,219,1465,3,27,13,69,413,17,12,384,120,293,0,0,335,78,86,304,2,2,3,16,,
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Sheltered and Unsheltered Count,2020,646,105,36,505,229,416,0,1,432,214,271,350,5,3,2,15,298,0,10,288,80,218,0,0,213,85,133,163,2,0,0,0,,
NJ-507,New Brunswick/Middlesex County CoC,Sheltered and Unsheltered Count,2020,565,181,41,343,275,289,1,0,399,166,254,285,10,2,3,11,101,0,2,99,17,84,0,0,59,42,56,44,1,0,0,0,,
NJ-508,Monmouth County CoC,Sheltered and Unsheltered Count,2020,340,101,26,213,153,187,0,0,292,48,142,174,0,0,0,24,59,0,3,56,10,49,0,0,54,5,44,12,0,1,0,2,,
NJ-509,Morris County CoC,Sheltered and Unsheltered Count,2020,325,96,24,205,147,178,0,0,267,58,191,98,4,4,1,27,29,0,2,27,9,20,0,0,17,12,26,3,0,0,0,0,,
